pixel_id,timestamp,region_id,B2_blue,B3_green,B4_red,B8_nir,B11_swir1
R003_P009,2026-04-01,R003,0.143,0.157,0.197,0.413,0.323
R003_P009,2026-04-08,R003,0.136,0.171,0.163,0.434,0.299
R003_P009,2026-04-15,R003,0.142,0.182,0.173,0.514,0.262
R003_P009,2026-04-22,R003,0.133,0.18,0.173,0.501,-999.0
R003_P009,2026-04-29,R003,0.141,0.171,0.163,0.485,0.325
R003_P009,2026-05-06,R003,0.165,0.164,0.22,0.514,0.328
R003_P009,2026-05-13,R003,0.135,0.185,0.164,0.424,0.284
R003_P009,2026-05-20,R003,0.143,0.18,0.181,0.482,0.263
R003_P010,2026-04-01,R003,0.091,0.112,0.153,0.371,0.276
R003_P010,2026-04-08,R003,0.139,0.154,0.16,0.459,0.215
R003_P010,2026-04-15,R003,0.102,0.149,0.164,0.427,0.227
R003_P010,2026-04-22,R003,0.102,0.133,0.186,0.462,0.278
R003_P010,2026-04-29,R003,0.137,0.158,0.185,0.425,0.266
R003_P010,2026-05-06,R003,0.131,0.113,0.146,0.421,0.306
R003_P010,2026-05-13,R003,0.099,0.158,-999.0,0.383,0.23
R003_P010,2026-05-20,R003,0.107,0.117,0.147,0.413,0.242
R003_P011,2026-04-01,R003,0.167,0.152,0.172,0.444,0.293
R003_P011,2026-04-08,R003,0.153,0.172,0.21,0.537,0.327
R003_P011,2026-04-15,R003,0.17,0.175,0.211,0.505,0.283
R003_P011,2026-04-22,R003,0.152,0.188,0.17,0.459,0.272
R003_P011,2026-04-29,R003,0.151,0.155,0.199,0.507,0.346
R003_P011,2026-05-06,R003,0.139,0.176,0.198,0.543,0.263
R003_P011,2026-05-13,R003,0.169,0.195,0.183,0.455,0.314
R003_P011,2026-05-20,R003,0.147,0.193,0.196,0.459,0.299
R003_P012,2026-04-01,R003,0.128,0.13,0.163,0.415,0.282
R003_P012,2026-04-08,R003,0.145,0.148,0.144,0.45,0.268
R003_P012,2026-04-15,R003,0.134,0.127,0.149,0.468,0.244
R003_P012,2026-04-22,R003,0.137,0.132,0.168,0.4,0.254
R003_P012,2026-04-29,R003,0.128,0.164,0.164,0.403,-999.0
R003_P012,2026-05-06,R003,0.121,0.166,0.162,0.446,-999.0
R003_P012,2026-05-13,R003,0.117,0.171,0.174,0.451,0.233
R003_P012,2026-05-20,R003,0.109,0.173,0.171,0.438,0.316
R003_P013,2026-04-01,R003,0.115,0.136,0.156,0.511,0.246
R003_P013,2026-04-08,R003,0.142,0.144,0.191,0.437,0.273
R003_P013,2026-04-15,R003,0.145,0.146,0.187,0.47,0.26
R003_P013,2026-04-22,R003,0.111,0.129,0.145,-999.0,0.306
R003_P013,2026-04-29,R003,0.113,0.153,0.188,0.446,0.257
R003_P013,2026-05-06,R003,0.147,0.145,0.176,0.368,-999.0
R003_P013,2026-05-13,R003,0.11,0.154,0.17,0.4,0.245
R003_P013,2026-05-20,R003,0.098,0.143,0.16,0.412,0.239
R003_P014,2026-04-01,R003,0.138,0.14,0.198,0.422,0.235
R003_P014,2026-04-08,R003,0.105,0.135,0.163,0.447,0.295
R003_P014,2026-04-15,R003,0.122,0.168,-999.0,0.449,0.234
R003_P014,2026-04-22,R003,0.152,0.172,0.175,0.38,0.312
R003_P014,2026-04-29,R003,0.125,0.125,0.185,0.497,0.248
R003_P014,2026-05-06,R003,0.143,0.167,0.182,0.377,0.228
R003_P014,2026-05-13,R003,0.11,0.149,0.185,0.385,0.258
R003_P014,2026-05-20,R003,0.136,0.169,0.167,0.428,0.236
R003_P015,2026-04-01,R003,0.146,0.161,0.193,0.46,0.316
R003_P015,2026-04-08,R003,0.146,0.179,0.189,0.504,0.268
R003_P015,2026-04-15,R003,0.137,0.154,0.184,0.419,0.298
R003_P015,2026-04-22,R003,0.156,0.148,0.196,0.414,0.338
R003_P015,2026-04-29,R003,0.122,0.152,0.167,0.431,0.291
R003_P015,2026-05-06,R003,0.158,0.163,0.189,0.417,0.324
R003_P015,2026-05-13,R003,0.168,0.149,0.196,0.479,0.28
R003_P015,2026-05-20,R003,0.125,0.187,0.195,0.46,0.304
R003_P016,2026-04-01,R003,0.156,0.171,0.173,0.461,0.251
R003_P016,2026-04-08,R003,0.159,0.19,-999.0,0.479,0.285
R003_P016,2026-04-15,R003,0.126,0.16,0.189,0.538,0.309
R003_P016,2026-04-22,R003,0.149,0.184,0.18,0.429,0.317
R003_P016,2026-04-29,R003,0.128,0.185,0.205,0.403,0.285
R003_P016,2026-05-06,R003,0.153,0.16,0.205,0.469,0.298
R003_P016,2026-05-13,R003,0.139,0.191,0.222,0.542,0.304
R003_P016,2026-05-20,R003,0.153,0.186,0.18,0.491,0.342
R003_P017,2026-04-01,R003,0.167,0.184,0.175,0.493,0.338
R003_P017,2026-04-08,R003,0.127,0.183,0.207,0.389,0.276
R003_P017,2026-04-15,R003,0.158,0.153,0.19,-999.0,0.321
R003_P017,2026-04-22,R003,0.134,0.145,0.204,0.53,0.246
R003_P017,2026-04-29,R003,0.144,0.159,0.184,0.465,0.335
R003_P017,2026-05-06,R003,0.158,0.177,0.181,-999.0,0.328
R003_P017,2026-05-13,R003,0.16,0.139,0.174,0.416,0.317
R003_P017,2026-05-20,R003,0.141,0.178,0.195,0.52,-999.0
R003_P018,2026-04-01,R003,0.112,0.108,-999.0,0.356,0.277
R003_P018,2026-04-08,R003,0.116,0.137,0.148,0.429,0.206
R003_P018,2026-04-15,R003,0.097,0.124,0.126,0.378,0.268
R003_P018,2026-04-22,R003,0.087,0.11,0.174,0.361,0.223
R003_P018,2026-04-29,R003,0.092,0.151,0.15,0.478,0.259
R003_P018,2026-05-06,R003,0.123,0.15,0.145,0.389,0.278
R003_P018,2026-05-13,R003,0.128,0.139,0.141,0.435,0.3
R003_P018,2026-05-20,R003,0.097,0.121,0.161,-999.0,0.276
R003_P019,2026-04-01,R003,0.129,0.156,0.201,0.517,0.296
R003_P019,2026-04-08,R003,0.144,0.138,-999.0,0.404,0.3
R003_P019,2026-04-15,R003,0.121,0.164,0.165,0.403,0.324
R003_P019,2026-04-22,R003,0.128,0.149,0.189,0.51,0.241
R003_P019,2026-04-29,R003,0.157,0.172,0.166,0.487,0.304
R003_P019,2026-05-06,R003,0.15,0.159,-999.0,0.413,0.328
R003_P019,2026-05-13,R003,0.133,0.182,0.179,0.392,0.3
R003_P019,2026-05-20,R003,0.162,0.139,0.192,0.512,0.263
R003_P020,2026-04-01,R003,0.143,0.177,0.204,0.469,0.301
R003_P020,2026-04-08,R003,0.152,0.171,0.176,0.469,0.263
R003_P020,2026-04-15,R003,0.179,0.176,0.192,0.529,0.318
R003_P020,2026-04-22,R003,0.138,0.191,0.179,0.418,0.326
R003_P020,2026-04-29,R003,0.13,0.153,0.17,0.424,0.346
R003_P020,2026-05-06,R003,0.157,0.163,0.226,0.451,0.3
R003_P020,2026-05-13,R003,0.157,0.198,0.173,0.426,0.337
R003_P020,2026-05-20,R003,0.157,0.163,0.203,0.489,0.285
R004_P001,2026-04-01,R004,0.158,0.172,0.209,0.443,0.333
R004_P001,2026-04-08,R004,0.162,0.149,0.169,0.45,0.292
R004_P001,2026-04-15,R004,0.152,0.155,0.18,0.385,0.233
R004_P001,2026-04-22,R004,0.113,0.144,0.188,0.492,0.291
R004_P001,2026-04-29,R004,0.152,0.136,0.182,0.479,0.271
R004_P001,2026-05-06,R004,0.162,0.169,0.17,0.527,0.32
R004_P001,2026-05-13,R004,0.133,0.151,0.171,0.49,0.307
R004_P001,2026-05-20,R004,0.148,0.18,0.184,0.424,0.315
R004_P002,2026-04-01,R004,0.146,0.144,0.169,-999.0,0.27
R004_P002,2026-04-08,R004,0.139,0.165,0.189,0.39,-999.0
R004_P002,2026-04-15,R004,0.146,0.165,0.167,0.493,0.299
R004_P002,2026-04-22,R004,0.155,0.161,0.155,0.395,0.289
R004_P002,2026-04-29,R004,0.149,0.139,0.189,0.419,0.309
R004_P002,2026-05-06,R004,0.147,0.173,0.168,0.503,0.304
R004_P002,2026-05-13,R004,0.147,0.144,0.204,0.418,0.319
R004_P002,2026-05-20,R004,0.162,0.157,0.204,0.493,-999.0
R004_P003,2026-04-01,R004,0.11,0.124,0.141,0.433,0.298
R004_P003,2026-04-08,R004,0.11,0.118,0.16,0.419,0.308
R004_P003,2026-04-15,R004,0.099,0.116,0.181,0.474,0.24
R004_P003,2026-04-22,R004,0.105,0.151,0.157,0.449,0.227
R004_P003,2026-04-29,R004,0.116,0.144,-999.0,0.456,0.269
R004_P003,2026-05-06,R004,0.109,0.121,0.181,0.421,0.261
R004_P003,2026-05-13,R004,0.095,0.128,0.172,0.421,0.252
R004_P003,2026-05-20,R004,0.102,0.111,0.175,0.389,0.306
R004_P004,2026-04-01,R004,0.116,0.136,-999.0,0.432,0.284
R004_P004,2026-04-08,R004,0.13,0.169,0.161,0.426,0.309
R004_P004,2026-04-15,R004,0.112,0.134,0.172,0.429,0.248
R004_P004,2026-04-22,R004,0.119,0.14,0.152,0.498,0.282
R004_P004,2026-04-29,R004,0.118,0.148,-999.0,0.465,0.226
R004_P004,2026-05-06,R004,0.124,0.157,0.154,0.517,0.26
R004_P004,2026-05-13,R004,0.102,0.165,0.178,0.379,0.305
R004_P004,2026-05-20,R004,0.114,0.162,0.155,0.506,0.275
R004_P005,2026-04-01,R004,0.136,0.165,0.164,0.496,0.332
R004_P005,2026-04-08,R004,0.17,0.165,0.217,0.419,0.269
R004_P005,2026-04-15,R004,0.142,0.164,0.2,0.511,0.322
R004_P005,2026-04-22,R004,0.137,0.164,0.183,0.462,0.321
R004_P005,2026-04-29,R004,0.136,0.18,0.163,0.403,0.282
R004_P005,2026-05-06,R004,0.164,0.162,0.166,0.471,0.271
R004_P005,2026-05-13,R004,0.143,0.148,0.201,0.494,0.276
R004_P005,2026-05-20,R004,0.137,0.145,0.172,0.404,0.269
R004_P006,2026-04-01,R004,0.109,0.159,0.154,0.508,0.265
R004_P006,2026-04-08,R004,0.101,0.133,0.171,0.383,0.22
R004_P006,2026-04-15,R004,0.097,0.114,0.146,0.366,0.263
R004_P006,2026-04-22,R004,0.115,0.158,0.158,0.461,0.259
R004_P006,2026-04-29,R004,0.116,0.149,0.172,0.402,0.285
R004_P006,2026-05-06,R004,0.112,0.113,0.168,0.415,0.287
R004_P006,2026-05-13,R004,0.111,0.148,0.141,0.463,0.241
R004_P006,2026-05-20,R004,0.1,0.156,0.131,0.455,0.296
R004_P007,2026-04-01,R004,0.147,0.161,0.175,0.509,0.282
R004_P007,2026-04-08,R004,0.132,0.179,0.204,0.428,0.312
R004_P007,2026-04-15,R004,0.149,0.171,0.179,-999.0,0.325
R004_P007,2026-04-22,R004,0.14,0.184,0.181,0.435,0.263
R004_P007,2026-04-29,R004,0.13,0.151,0.21,-999.0,0.289
R004_P007,2026-05-06,R004,0.135,0.149,-999.0,0.475,0.322
R004_P007,2026-05-13,R004,0.153,0.147,-999.0,0.433,0.255
R004_P007,2026-05-20,R004,0.149,0.166,-999.0,0.437,0.259
R004_P008,2026-04-01,R004,0.157,0.158,0.178,0.509,0.301
R004_P008,2026-04-08,R004,0.148,0.157,0.186,0.438,0.31
R004_P008,2026-04-15,R004,0.151,0.162,0.162,0.528,0.29
R004_P008,2026-04-22,R004,0.146,0.179,-999.0,0.471,0.335
R004_P008,2026-04-29,R004,0.163,0.166,0.205,0.473,0.241
R004_P008,2026-05-06,R004,0.154,0.176,0.164,0.533,0.299
R004_P008,2026-05-13,R004,0.125,0.162,0.215,0.532,0.27
R004_P008,2026-05-20,R004,0.161,0.178,0.181,0.393,0.285
R004_P009,2026-04-01,R004,0.101,0.141,0.176,0.369,0.255
R004_P009,2026-04-08,R004,0.096,0.155,0.189,0.5,0.309
R004_P009,2026-04-15,R004,0.113,0.155,0.164,0.503,0.285
R004_P009,2026-04-22,R004,0.111,0.119,0.151,0.457,0.294
R004_P009,2026-04-29,R004,0.136,0.127,0.136,0.406,0.278
R004_P009,2026-05-06,R004,0.125,0.138,0.176,0.429,0.314
R004_P009,2026-05-13,R004,0.135,0.145,0.136,0.449,0.223
R004_P009,2026-05-20,R004,0.114,0.151,0.143,0.366,0.281
R004_P010,2026-04-01,R004,0.109,0.147,0.154,0.381,0.263
R004_P010,2026-04-08,R004,0.141,0.123,0.15,0.417,0.248
R004_P010,2026-04-15,R004,0.101,0.127,0.165,0.464,0.295
R004_P010,2026-04-22,R004,0.126,0.113,0.149,0.506,0.307
R004_P010,2026-04-29,R004,0.135,0.128,0.154,-999.0,0.22
R004_P010,2026-05-06,R004,0.115,0.145,0.187,0.367,0.279
R004_P010,2026-05-13,R004,0.128,0.113,0.134,0.505,0.235
R004_P010,2026-05-20,R004,0.128,0.12,0.135,0.412,0.214
R004_P011,2026-04-01,R004,0.105,0.164,0.167,0.471,0.232
R004_P011,2026-04-08,R004,0.123,0.162,0.192,0.371,0.312
R004_P011,2026-04-15,R004,0.131,0.13,0.149,0.402,0.263
R004_P011,2026-04-22,R004,0.115,0.133,0.139,0.463,0.267
R004_P011,2026-04-29,R004,0.133,0.118,0.155,0.439,0.262
R004_P011,2026-05-06,R004,0.104,0.166,0.187,0.502,0.273
R004_P011,2026-05-13,R004,0.123,0.127,0.185,0.49,0.22
R004_P011,2026-05-20,R004,0.138,0.146,0.148,0.42,-999.0
R004_P012,2026-04-01,R004,0.09,0.155,0.148,-999.0,0.305
R004_P012,2026-04-08,R004,0.117,0.128,0.142,0.499,0.243
R004_P012,2026-04-15,R004,0.108,0.121,0.157,0.401,0.27
R004_P012,2026-04-22,R004,0.117,0.118,0.171,0.405,0.28
R004_P012,2026-04-29,R004,0.111,0.118,0.161,-999.0,0.207
R004_P012,2026-05-06,R004,0.126,0.118,0.173,-999.0,0.27
R004_P012,2026-05-13,R004,0.096,0.146,0.132,-999.0,0.298
R004_P012,2026-05-20,R004,0.102,0.107,0.185,0.505,0.304
R004_P013,2026-04-01,R004,0.166,0.161,0.21,0.519,-999.0
R004_P013,2026-04-08,R004,0.129,0.187,0.184,0.453,-999.0
R004_P013,2026-04-15,R004,0.133,0.179,0.214,0.499,0.312
R004_P013,2026-04-22,R004,0.154,0.186,0.202,0.443,0.335
R004_P013,2026-04-29,R004,0.16,0.19,0.193,0.539,0.322
R004_P013,2026-05-06,R004,0.158,0.149,0.177,0.521,0.283
R004_P013,2026-05-13,R004,0.128,0.158,0.204,0.503,0.324
R004_P013,2026-05-20,R004,0.15,0.163,0.164,0.496,0.273
R004_P014,2026-04-01,R004,0.123,0.178,0.174,0.512,0.257
R004_P014,2026-04-08,R004,0.15,0.165,0.214,0.513,0.261
R004_P014,2026-04-15,R004,0.15,0.181,0.161,0.423,0.24
R004_P014,2026-04-22,R004,0.162,0.145,0.16,0.497,0.262
R004_P014,2026-04-29,R004,0.14,0.153,0.183,0.417,-999.0
R004_P014,2026-05-06,R004,0.137,0.166,0.16,0.422,0.28
R004_P014,2026-05-13,R004,0.133,0.159,0.159,0.504,0.298
R004_P014,2026-05-20,R004,0.142,0.183,0.167,0.487,0.281
R004_P015,2026-04-01,R004,0.1,0.119,0.159,0.414,0.296
R004_P015,2026-04-08,R004,0.112,0.123,0.165,0.436,0.258
R004_P015,2026-04-15,R004,0.09,0.143,-999.0,0.436,0.267
R004_P015,2026-04-22,R004,0.107,0.117,0.166,0.4,0.246
R004_P015,2026-04-29,R004,0.097,0.154,0.178,-999.0,0.237
R004_P015,2026-05-06,R004,0.139,0.137,0.165,0.372,0.263
R004_P015,2026-05-13,R004,0.114,0.145,-999.0,0.461,0.283
R004_P015,2026-05-20,R004,0.13,0.138,0.161,0.48,-999.0
R004_P016,2026-04-01,R004,0.129,0.143,0.193,0.425,0.308
R004_P016,2026-04-08,R004,0.121,0.142,0.173,0.463,0.239
R004_P016,2026-04-15,R004,0.132,0.182,0.169,0.389,0.277
R004_P016,2026-04-22,R004,0.158,0.136,0.163,-999.0,0.325
R004_P016,2026-04-29,R004,0.141,0.137,0.16,0.451,0.273
R004_P016,2026-05-06,R004,0.132,0.181,0.173,0.461,0.33
R004_P016,2026-05-13,R004,0.127,0.18,-999.0,0.518,0.315
R004_P016,2026-05-20,R004,0.136,0.18,0.182,0.528,0.325
R004_P017,2026-04-01,R004,0.129,0.183,0.162,0.486,0.259
R004_P017,2026-04-08,R004,0.153,0.137,-999.0,0.397,0.306
R004_P017,2026-04-15,R004,0.121,0.144,0.154,0.425,-999.0
R004_P017,2026-04-22,R004,0.157,0.169,0.196,0.528,-999.0
R004_P017,2026-04-29,R004,0.149,0.143,0.171,0.386,0.243
R004_P017,2026-05-06,R004,0.157,0.181,0.212,0.5,0.249
R004_P017,2026-05-13,R004,0.163,0.171,0.175,0.432,0.302
R004_P017,2026-05-20,R004,0.15,0.156,0.185,0.48,0.314
R004_P018,2026-04-01,R004,0.167,0.161,0.17,0.432,-999.0
R004_P018,2026-04-08,R004,0.169,0.194,0.204,0.398,0.297
R004_P018,2026-04-15,R004,0.154,0.171,0.194,0.419,0.34
R004_P018,2026-04-22,R004,0.133,0.168,0.204,0.474,0.315
R004_P018,2026-04-29,R004,0.128,0.178,0.208,0.523,0.259
R004_P018,2026-05-06,R004,0.135,0.172,0.214,0.425,0.332
R004_P018,2026-05-13,R004,0.176,0.168,0.196,0.472,0.312
R004_P018,2026-05-20,R004,0.15,0.155,0.206,0.493,0.338
R004_P019,2026-04-01,R004,0.1,0.125,0.17,0.457,0.211
R004_P019,2026-04-08,R004,0.103,0.13,0.157,0.498,0.269
R004_P019,2026-04-15,R004,0.126,0.116,0.143,-999.0,0.285
R004_P019,2026-04-22,R004,0.123,0.107,0.169,0.365,0.259
R004_P019,2026-04-29,R004,0.089,0.129,0.132,0.48,0.275
R004_P019,2026-05-06,R004,0.089,0.136,0.154,0.497,0.228
R004_P019,2026-05-13,R004,0.098,0.13,0.185,0.417,0.242
R004_P019,2026-05-20,R004,0.091,0.13,0.16,0.465,0.226
R004_P020,2026-04-01,R004,0.159,0.173,0.204,0.437,0.262
R004_P020,2026-04-08,R004,0.117,0.147,0.204,0.445,0.298
R004_P020,2026-04-15,R004,0.124,0.169,0.187,0.464,0.285
R004_P020,2026-04-22,R004,0.12,0.137,0.204,-999.0,0.31
R004_P020,2026-04-29,R004,0.133,0.152,0.201,0.386,0.268
R004_P020,2026-05-06,R004,0.128,0.174,0.174,0.389,0.305
R004_P020,2026-05-13,R004,0.116,0.144,0.213,0.417,0.248
R004_P020,2026-05-20,R004,0.127,0.17,0.177,0.497,0.242
R005_P001,2026-04-01,R005,0.123,0.163,0.203,-999.0,0.277
R005_P001,2026-04-08,R005,0.119,0.163,0.178,0.532,0.279
R005_P001,2026-04-15,R005,0.135,0.187,0.172,0.416,0.301
R005_P001,2026-04-22,R005,0.154,0.161,0.197,0.426,-999.0
R005_P001,2026-04-29,R005,0.142,0.143,0.178,0.507,0.327
R005_P001,2026-05-06,R005,0.138,0.171,-999.0,0.504,0.324
R005_P001,2026-05-13,R005,0.122,0.186,0.205,-999.0,0.31
R005_P001,2026-05-20,R005,0.151,0.164,0.169,0.39,0.239
R005_P002,2026-04-01,R005,0.132,0.152,0.198,-999.0,0.343
R005_P002,2026-04-08,R005,0.149,0.193,0.202,0.514,0.28
R005_P002,2026-04-15,R005,0.13,0.163,0.224,0.448,0.281
R005_P002,2026-04-22,R005,0.146,0.149,0.202,0.447,0.336
R005_P002,2026-04-29,R005,0.154,0.195,0.167,0.408,0.251
R005_P002,2026-05-06,R005,0.149,0.17,0.175,0.517,0.251
R005_P002,2026-05-13,R005,0.176,0.187,0.223,0.469,0.288
R005_P002,2026-05-20,R005,0.163,0.167,0.198,0.436,0.303
R005_P003,2026-04-01,R005,0.142,0.163,0.156,0.411,0.271
R005_P003,2026-04-08,R005,0.111,0.144,0.164,0.474,0.247
R005_P003,2026-04-15,R005,0.139,0.131,0.196,0.423,0.232
R005_P003,2026-04-22,R005,0.11,0.12,0.16,0.397,0.237
R005_P003,2026-04-29,R005,0.124,0.149,0.148,0.473,0.238
R005_P003,2026-05-06,R005,0.118,0.165,0.138,0.439,0.315
R005_P003,2026-05-13,R005,0.125,0.142,0.17,0.508,0.278
R005_P003,2026-05-20,R005,0.11,0.121,0.194,0.416,0.259
R005_P004,2026-04-01,R005,0.114,0.171,0.168,0.482,0.305
R005_P004,2026-04-08,R005,0.145,0.149,0.154,0.448,0.277
R005_P004,2026-04-15,R005,0.153,0.177,0.198,0.385,0.287
R005_P004,2026-04-22,R005,0.149,0.171,0.169,0.383,0.278
R005_P004,2026-04-29,R005,0.139,0.175,0.165,0.413,0.257
R005_P004,2026-05-06,R005,0.122,0.132,0.185,0.436,-999.0
R005_P004,2026-05-13,R005,0.127,0.168,0.157,0.506,0.311
R005_P004,2026-05-20,R005,0.114,0.136,0.163,0.514,-999.0
R005_P005,2026-04-01,R005,0.1,0.131,0.139,0.394,0.223
R005_P005,2026-04-08,R005,0.129,0.113,0.165,0.432,0.292
R005_P005,2026-04-15,R005,0.096,0.117,0.124,0.364,0.234
R005_P005,2026-04-22,R005,0.12,0.129,0.146,0.414,0.289
R005_P005,2026-04-29,R005,0.1,0.112,0.165,0.434,0.207
R005_P005,2026-05-06,R005,0.112,0.142,0.148,0.362,0.23
R005_P005,2026-05-13,R005,0.123,0.111,0.141,0.425,0.215
R005_P005,2026-05-20,R005,0.096,0.133,0.152,0.488,0.297
R005_P006,2026-04-01,R005,0.128,0.149,0.171,0.388,0.239
R005_P006,2026-04-08,R005,0.136,0.182,0.175,0.476,0.294
R005_P006,2026-04-15,R005,0.131,0.145,0.2,0.46,0.316
R005_P006,2026-04-22,R005,0.119,0.136,0.194,0.445,-999.0
R005_P006,2026-04-29,R005,0.129,0.176,0.199,0.453,0.272
R005_P006,2026-05-06,R005,0.134,0.169,0.213,0.523,-999.0
R005_P006,2026-05-13,R005,0.12,0.178,0.19,0.509,0.326
R005_P006,2026-05-20,R005,0.12,0.147,0.161,0.463,0.308
R005_P007,2026-04-01,R005,0.112,0.163,0.159,-999.0,0.28
R005_P007,2026-04-08,R005,0.113,0.125,0.155,0.402,0.238
R005_P007,2026-04-15,R005,0.135,0.144,0.169,0.414,0.289
R005_P007,2026-04-22,R005,0.119,0.12,0.147,0.455,0.22
R005_P007,2026-04-29,R005,0.118,0.137,0.136,0.507,0.275
R005_P007,2026-05-06,R005,0.102,0.142,0.155,0.465,0.271
R005_P007,2026-05-13,R005,0.127,0.133,0.182,0.415,0.316
R005_P007,2026-05-20,R005,0.138,0.16,0.191,0.501,0.258
R005_P008,2026-04-01,R005,0.136,0.163,0.199,0.443,0.316
R005_P008,2026-04-08,R005,0.117,0.173,0.171,-999.0,0.295
R005_P008,2026-04-15,R005,0.119,0.174,0.191,-999.0,0.285
R005_P008,2026-04-22,R005,0.157,0.172,0.197,0.409,0.245
R005_P008,2026-04-29,R005,0.131,0.138,0.154,0.408,0.279
R005_P008,2026-05-06,R005,0.156,0.145,0.161,0.395,0.237
R005_P008,2026-05-13,R005,0.126,0.149,0.169,0.411,0.251
R005_P008,2026-05-20,R005,0.127,0.18,0.156,0.453,0.313
R005_P009,2026-04-01,R005,0.159,0.162,0.172,0.489,0.3
R005_P009,2026-04-08,R005,0.141,0.173,0.217,0.45,0.253
R005_P009,2026-04-15,R005,0.152,0.148,0.179,0.539,0.297
R005_P009,2026-04-22,R005,0.124,0.153,0.189,0.532,0.293
R005_P009,2026-04-29,R005,0.145,0.175,0.164,0.481,0.29
R005_P009,2026-05-06,R005,0.142,0.144,0.161,0.396,0.242
R005_P009,2026-05-13,R005,0.132,0.157,0.203,0.425,0.317
R005_P009,2026-05-20,R005,0.166,0.165,0.22,0.532,-999.0
R005_P010,2026-04-01,R005,0.121,0.139,0.195,0.488,-999.0
R005_P010,2026-04-08,R005,0.145,0.141,-999.0,0.509,0.249
R005_P010,2026-04-15,R005,0.164,0.145,0.201,0.459,0.265
R005_P010,2026-04-22,R005,0.132,0.16,0.212,0.506,0.29
R005_P010,2026-04-29,R005,0.133,0.177,0.201,0.459,0.25
R005_P010,2026-05-06,R005,0.134,0.143,0.175,0.396,0.321
R005_P010,2026-05-13,R005,0.125,0.185,0.192,0.397,0.293
R005_P010,2026-05-20,R005,0.141,0.172,0.17,0.402,0.255
R005_P011,2026-04-01,R005,0.103,0.164,0.148,0.458,-999.0
R005_P011,2026-04-08,R005,0.116,0.168,0.16,-999.0,0.227
R005_P011,2026-04-15,R005,0.119,0.125,0.167,0.456,0.303
R005_P011,2026-04-22,R005,0.119,0.128,0.166,-999.0,0.319
R005_P011,2026-04-29,R005,0.119,0.167,0.155,0.441,0.295
R005_P011,2026-05-06,R005,0.118,0.132,0.19,0.393,0.282
R005_P011,2026-05-13,R005,0.115,0.153,0.179,0.427,0.265
R005_P011,2026-05-20,R005,0.1,0.129,0.184,0.376,0.27
R005_P012,2026-04-01,R005,0.1,0.149,0.16,0.448,0.236
R005_P012,2026-04-08,R005,0.12,0.152,-999.0,0.373,0.234
R005_P012,2026-04-15,R005,0.094,0.107,0.125,0.478,0.285
R005_P012,2026-04-22,R005,0.113,0.126,0.164,0.439,0.237
R005_P012,2026-04-29,R005,0.104,0.117,0.164,0.474,0.298
R005_P012,2026-05-06,R005,0.123,0.144,0.175,0.495,0.267
R005_P012,2026-05-13,R005,0.104,0.129,0.137,0.362,0.258
R005_P012,2026-05-20,R005,0.109,0.117,0.174,0.383,0.217
R005_P013,2026-04-01,R005,0.125,0.174,0.168,0.507,0.253
R005_P013,2026-04-08,R005,0.153,0.172,0.199,0.385,0.308
R005_P013,2026-04-15,R005,0.144,0.128,0.201,0.484,0.25
R005_P013,2026-04-22,R005,0.147,0.173,0.167,0.5,0.314
R005_P013,2026-04-29,R005,0.155,0.143,0.16,0.479,0.261
R005_P013,2026-05-06,R005,0.113,0.142,0.205,0.422,0.286
R005_P013,2026-05-13,R005,0.128,0.138,0.169,0.512,0.322
R005_P013,2026-05-20,R005,0.151,0.166,0.174,0.421,0.243
R005_P014,2026-04-01,R005,0.158,0.142,0.17,0.466,-999.0
R005_P014,2026-04-08,R005,0.118,0.138,0.171,0.448,0.258
R005_P014,2026-04-15,R005,0.129,0.169,0.194,0.461,0.256
R005_P014,2026-04-22,R005,0.153,0.148,0.188,0.485,0.265
R005_P014,2026-04-29,R005,0.161,0.158,0.164,0.462,0.28
R005_P014,2026-05-06,R005,0.128,0.149,0.167,0.476,0.271
R005_P014,2026-05-13,R005,0.144,0.147,0.21,0.498,0.29
R005_P014,2026-05-20,R005,0.155,0.153,0.172,0.449,0.307
R005_P015,2026-04-01,R005,0.142,0.134,0.171,0.371,0.293
R005_P015,2026-04-08,R005,0.101,0.157,0.165,0.438,0.226
R005_P015,2026-04-15,R005,0.129,0.131,0.156,0.478,0.217
R005_P015,2026-04-22,R005,0.114,0.144,0.138,0.484,0.304
R005_P015,2026-04-29,R005,0.109,0.125,0.179,0.459,0.273
R005_P015,2026-05-06,R005,0.126,0.155,0.147,0.474,0.248
R005_P015,2026-05-13,R005,0.136,0.118,0.188,-999.0,0.313
R005_P015,2026-05-20,R005,0.119,0.12,0.134,0.388,0.304
R005_P016,2026-04-01,R005,0.104,0.151,0.163,0.456,0.283
R005_P016,2026-04-08,R005,0.111,0.144,0.185,-999.0,0.274
R005_P016,2026-04-15,R005,0.102,0.159,0.17,0.423,0.214
R005_P016,2026-04-22,R005,0.135,0.134,0.142,0.406,0.267
R005_P016,2026-04-29,R005,0.109,0.115,0.14,0.469,0.262
R005_P016,2026-05-06,R005,0.135,0.111,0.156,0.5,0.277
R005_P016,2026-05-13,R005,0.097,0.111,0.14,0.423,-999.0
R005_P016,2026-05-20,R005,0.13,0.15,0.167,0.373,0.292
R005_P017,2026-04-01,R005,0.12,0.141,0.13,0.473,0.283
